Trip_Seconds,Trip_Miles,Trip_Cost,Temp,Vis,Wind_Speed,Is_Snow,Is_Rain,Is_Thunderstorm,Is_Fog,Is_Good_Weather,Pickup_Crime_Pct,Pickup_Pop_Dens,Pickup_Pct_At_Least_1_Veh,Pickup_Pct_In_Poverty,Pickup_Pct_Unemp,Pickup_Pct_Comm_By_Pub_Tpt,Pickup_Pct_At_Least_1_Worker,Pickup_Hs_Unit_Dens,Dropoff_Crime_Pct,Dropoff_Pop_Dens,Dropoff_Pct_At_Least_1_Veh,Dropoff_Pct_In_Poverty,Dropoff_Pct_Unemp,Dropoff_Pct_Comm_By_Pub_Tpt,Dropoff_Pct_At_Least_1_Worker,Dropoff_Hs_Unit_Dens,Trip_Month=1,Trip_Month=2,Trip_Month=3,Trip_Month=4,Trip_Month=5,Trip_Month=6,Trip_Month=7,Trip_Month=8,Trip_Month=9,Trip_Month=10,Trip_Month=11,Trip_Month=12,Trip_Time_Phase=early a,Trip_Time_Phase=early eve,Trip_Time_Phase=early m,Trip_Time_Phase=late a,Trip_Time_Phase=late eve,Trip_Time_Phase=late m,Trip_Time_Phase=night,Type,Label,Narrative
1259.0,4.1,5.0,35.0,10.0,6.0,False,False,False,False,True,0.3807375813673057,0.0003749320688112,0.685130196603212,0.2231912656791864,0.2322237275160911,0.2907528210173298,0.803205826230574,0.0003474156741915,4.05487385043675,0.0026100966185898,0.5600388235246933,0.0848184511707127,0.2458706705171618,0.188698726461614,0.7921729712964303,0.004471723008492,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,train,1.0,Trip_Cost
674.0,2.5,7.55,18.0,10.0,5.0,False,False,False,False,True,0.5247702734388084,0.0008612472406711,0.9518064098051552,0.16752285737707,0.2536307992806237,0.1549229328404419,0.8709114708162902,0.0005867768670401,1.8467447495059344,0.0005244047304153,0.6979555655143335,0.1966250195799634,0.1304565326359595,0.3497107805139997,0.7168806079632036,0.0006993906091993,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,train,1.0,Trip_Cost
690.0,1.67,9.55,20.0,10.0,3.0,False,False,False,False,True,0.7026711179095534,0.0038641664783028,0.7769825433150916,0.0574585606499969,0.1109520777254463,0.2908875041245113,0.8644419685077832,0.0057720241932615,4.05487385043675,0.0026100966185898,0.5600388235246933,0.0848184511707127,0.2458706705171618,0.188698726461614,0.7921729712964303,0.004471723008492,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,train,0.0,Trip_Seconds. Trip_Miles. Trip_Cost. Pickup_Pop_Dens. Pickup_Hs_Unit_Dens
854.0,3.9,7.5,55.0,10.0,0.0,False,False,False,False,True,3.52452091451455,0.0011967431503719,0.5348454400531729,0.1135770049645879,0.1868372601760036,0.191479877639255,0.8852142975637339,0.001931758807808,4.878502655486455,0.0006467530094117,0.7171080881406804,0.0840786869175053,0.1281754702942762,0.3198099612386874,0.7961441946293037,0.0009920951535969,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,train,1.0,Trip_Cost
550.0,1.8,7.55,14.0,10.0,5.0,False,False,False,False,True,4.878502655486455,0.0006467530094117,0.7171080881406804,0.0840786869175053,0.1281754702942762,0.3198099612386874,0.7961441946293037,0.0009920951535969,4.878502655486455,0.0016255392413829,0.5757574700169935,0.1191715835299901,0.2001110678918111,0.1426134181826308,0.8117537535805778,0.0030091121386671,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,train,0.0,Trip_Seconds. Trip_Miles. Trip_Cost. Dropoff_Crime_Pct
1649.0,8.6,17.55,37.0,2.5,13.0,False,False,False,False,False,1.2017611439247606,0.0009443517320649,0.8918317373997035,0.0955387868122251,0.197869529415904,0.1594791865422349,0.7715227530227633,0.0008899677113149,0.7238852353464414,0.0013108194545305,0.8016029386763731,0.0487232097559128,0.134576788091298,0.3832832178981256,0.8366730672434645,0.0014316078962749,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,train,1.0,Trip_Seconds. Trip_Miles. Trip_Cost. Vis. Dropoff_Crime_Pct. Trip_Month=2
496.0,1.6,7.55,40.0,9.0,14.0,False,False,False,False,True,1.8690753994395009,0.0008914495674045,0.8035530073514242,0.1045081538901008,0.4242201695369957,0.3974628340537699,0.9170770808715883,0.0005106372114101,2.731410664374053,0.0006153964536312,0.8727388662164326,0.0765864093196594,0.2075133425712548,0.3126414532662196,0.9055586700879638,0.0007354087696469,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,train,0.0,Trip_Seconds. Trip_Miles. Trip_Cost. Trip_Time_Phase=late a. Trip_Month=2
838.0,2.7,10.05,69.0,9.0,7.0,False,False,False,False,True,4.878502655486455,0.0008697115870168,0.6341706418188804,0.0896950612741906,0.1192338496806448,0.1668160936274757,0.8760466076895786,0.0019290232513183,1.8690753994395009,0.0006529088976631,0.7692300811895517,0.0672845632390788,0.2151525505139571,0.5518822075839267,0.8971369435268841,0.0005183879547976,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,train,0.0,Trip_Seconds. Trip_Miles. Trip_Cost. Trip_Month=6. Pickup_Hs_Unit_Dens. Dropoff_Pct_Comm_By_Pub_Tpt
1508.0,6.6,17.55,38.0,1.75,9.0,False,False,False,False,False,0.4987178485163144,0.000486122800352,0.8024185459490465,0.0637118861448808,0.1885713088436134,0.2941614564659757,0.8114911174484704,0.0004577497859427,4.878502655486455,0.0007921858693508,0.4459702038416321,0.0791646238065508,0.1300986056788574,0.1167927029371549,0.8651966515371696,0.0014439179004786,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,train,0.0,Trip_Cost
404.0,1.517263,7.55,58.0,10.0,11.0,False,False,False,False,True,3.52452091451455,0.0011967431503719,0.5348454400531729,0.1135770049645879,0.1868372601760036,0.191479877639255,0.8852142975637339,0.001931758807808,4.878502655486455,0.0019810417879007,0.7387013464829175,0.0302971421346725,0.0817581323436424,0.1204444831587426,0.9527369585078042,0.0031787166410284,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,train,0.0,Trip_Seconds. Trip_Miles. Trip_Cost
